职位名称,公司ID,公司名称,公司规模,职位领域,工作经验,工作地点,工资水平,学历,工作性质,公司标签,职位优势
Linux嵌入式工程师,538220,元橡科技,50-150人,"人工智能,汽车丨出行",不限,苏州,15k-30k,本科,全职,"['股票期权', '年终分红', '专项奖金', '定期体检']",前景广阔 大咖带队 全额社保 弹性工作 奖金
C++开发工程师（linux 服务端）,131751,标贝科技,150-500人,人工智能,3-5年,北京,20k-30k,本科,全职,[],晋升空间 行业优势
高级Linux软件开发工程师,591531,Gostudy,15-50人,人工智能,3-5年,上海,20k-40k,本科,全职,"['绩效奖金', '股票期权', '带薪年假', '午餐补助']",晋升发展空间，技术大牛
移动端AI研发工程师（Linux方向）,591531,Gostudy,15-50人,人工智能,不限,上海,15k-30k,本科,全职,"['绩效奖金', '股票期权', '带薪年假', '午餐补助']",餐饮补贴，六险一金，补充商业医疗保险
linux内核安全高级工程师（1人）,556728,安芯网盾,15-50人,"企业服务,信息安全",1-3年,北京,20k-40k,本科,全职,"['绩效奖金', '年终分红', '定期体检', '交通补助']",福利优渥 大牛云集 股权
Linux安全研发工程师,556728,安芯网盾,15-50人,"企业服务,信息安全",不限,北京,20k-35k,不限,全职,"['绩效奖金', '年终分红', '定期体检', '交通补助']",待遇优渥
linux c/c++开发工程师,13153,优品财富管理有限公司,150-500人,金融,1-3年,深圳,8k-15k,大专,全职,"['年底双薪', '节日礼物', '带薪年假', '绩效奖金']",朝九晚六，五险一金，双休，免费体检
linux开发工程师,117683940,果果慧,15-50人,"通讯电子,物联网",1-3年,深圳,15k-20k,本科,全职,"['年底双薪', '带薪年假', '年度旅游', '技能培训']",五险一金、带薪年假、周末双休、节日福利
linux开发工程师,404,傲冠软件,150-500人,企业服务,1-3年,深圳,10k-20k,本科,全职,"['五险一金', '股票期权', '定期体检', '带薪年假']",五险一金 年终分红 带薪年假 定期体检
linux运维工程师,404,傲冠软件,150-500人,企业服务,3-5年,上海,10k-15k,本科,全职,"['五险一金', '股票期权', '定期体检', '带薪年假']",五险一金 年终分红 带薪年假 定期体检
linux运维工程师,20091,中电博亚,50-150人,"电商,游戏",1-3年,杭州,11k-22k,本科,全职,"['绩效奖金', '年底双薪', '五险一金', '通讯津贴']",五险一金 扁平管理 弹性工作 年终奖金
linux开发工程师,609465,永中软件,150-500人,工具,1-3年,无锡,8k-15k,本科,全职,[],弹性工作 日常补贴 行业翘楚
linux软件工程师,62477,零壹互联,150-500人,"移动互联网,消费生活",3-5年,深圳,15k-25k,本科,全职,"['年底双薪', '节日礼物', '年度旅游', '岗位晋升']",薪资高 氛围好
Linux QT工程师,62477,零壹互联,150-500人,"移动互联网,消费生活",3-5年,深圳,15k-25k,本科,全职,"['年底双薪', '节日礼物', '年度旅游', '岗位晋升']",薪资高 团队气氛好
Linux C/C++ 后台研发/高级研发工程师,520,小米集团,2000人以上,硬件,不限,北京,25k-50k,本科,全职,"['快速成长', '免费班车', '扁平管理', '技能培训']",核心的团队
Linux SDK高级研发工程师,520,小米集团,2000人以上,硬件,不限,北京,25k-50k,本科,全职,"['快速成长', '免费班车', '扁平管理', '技能培训']",AIOT
Linux/android BSP/驱动开发工程师,287511,赛鲁班,50-150人,"人工智能,教育",3-5年,杭州,20k-40k,不限,全职,[],行业前景 市场竞争力 整体解决方案能力
Linux开发工程师,21085,skyroam,150-500人,移动互联网,5-10年,深圳,15k-30k,本科,全职,"['帅哥萌妹多', '带薪年假', '绩效奖金', '年度旅游']",发展前景
linux内核,2474,滴滴,2000人以上,汽车丨出行,3-5年,北京,25k-50k,本科,全职,"['弹性工作', '节日礼物', '岗位晋升', '技能培训']",接触最核心的内核知识并推动上线！
linux开发（C/C++，go语言）,451,腾讯,2000人以上,社交,3-5年,深圳,25k-50k,本科,全职,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",QQ海量用户群，核心项目，服务端研发
linux c/c++,44596,富盛科技,500-2000人,"信息安全,数据服务",1-3年,北京,10k-18k,本科,全职,"['年底双薪', '年终分红', '绩效奖金', '交通补助']",技术大牛
Linux C/C++高级软件工程师,54555,格尔软件,150-500人,信息安全,5-10年,西安,10k-20k,本科,全职,"['节日礼物', '带薪年假', '管理规范', '领导好']","上市公司,工程师文化,技术氛围浓"
Linux C/C++ 高级软件工程师,54555,格尔软件,150-500人,信息安全,3-5年,上海,15k-25k,本科,全职,"['节日礼物', '带薪年假', '管理规范', '领导好']","核心团队,工程师文化,技术氛围浓"
Linux C++研发工程师,255,多贝网,50-150人,教育,1-3年,北京,20k-30k,本科,全职,"['都是年轻人', '不打卡', '自助餐管饱', '娱乐活动管够']",免费午餐 不打卡 优秀可转正 住宿补贴
嵌入式研发工程师 嵌入式linux工程师,76461,微雪电子,50-150人,"电商,硬件",1-3年,深圳,10k-20k,本科,全职,"['股票期权', '专项奖金', '带薪年假', '年度旅游']",带薪休假 年终奖 分红 下午茶 住房补贴
linux驱动开发工程师,565298,安思疆,50-150人,人工智能,5-10年,深圳,15k-30k,本科,全职,"['带薪年假', '双休', '专项奖金', '股票期权']",扁平 双休 技术大咖多 福利好 机会多
Linux系统运维工程师（实习）,279882,中科弘云,15-50人,"数据服务,其他",在校/应届,北京,3k-4k,硕士,实习,"['股票期权', '绩效奖金', '年度旅游', '五险一金']","前沿技术,学习环境,团队氛围"
linux运维工程师,124652,微创软件,2000人以上,"企业服务,移动互联网",1-3年,上海,10k-14k,本科,全职,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']",领导好，同事好，上升快，发展好，环境好
Linux高级运维工程师,36886,金山世游,2000人以上,游戏,3-5年,北京,15k-30k,本科,全职,"['年底双薪', '绩效奖金', '年度旅游', '美女多']",发展空间大，团队实力强
Linux嵌入式开发工程师,85699501,凝思软件,50-150人,"信息安全,软件开发",3-5年,成都,15k-20k,本科,全职,[],六险一金；周末双休；节日津贴；年度体检；奖金
Linux高级研发工程师,85699501,凝思软件,50-150人,"信息安全,软件开发",5-10年,成都,30k-40k,硕士,全职,[],六险一金；周末双休；节日津贴；年度体检；奖金
高级Linux开发工程师,37434,时代区块链,50-150人,"金融,移动互联网",3-5年,深圳,12k-24k,本科,全职,"['节日礼物', '股票期权', '扁平管理', '领导好']","周末双休,节日福利,组织旅游,五险一金"
Linux C++资深服务器开发工程师（网易云信）,329,网易,2000人以上,电商,3-5年,杭州,20k-40k,本科,全职,"['节日礼物', '技能培训', '免费班车', '带薪年假']",技术导向 大用户产品
后台开发工程师Linux,532290,鼎拓科技,50-150人,"信息安全,人工智能",1-3年,西安,7k-12k,本科,全职,[],五险一金
Linux内核工程师-系统研发,178149,GC信息,15-50人,"移动互联网,硬件",3-5年,上海,20k-35k,本科,全职,"['股票期权', '午餐补助', '绩效奖金', '带薪年假']",发展前景佳
Linux内核工程师-性能优化,178149,GC信息,15-50人,"移动互联网,硬件",3-5年,上海,20k-35k,本科,全职,"['股票期权', '午餐补助', '绩效奖金', '带薪年假']",发展前景佳
linux驱动工程师,37771,Roborock,500-2000人,硬件,5-10年,北京,25k-30k,本科,全职,"['技能培训', '管理规范', '定期体检', '专项奖金']",六险一金 带薪年假 年度体检
服务器软件工程师（Linux/Windows C+,65947,同为数码,500-2000人,信息安全,3-5年,深圳,15k-30k,本科,全职,"['节日礼物', '带薪年假', '绩效奖金', '岗位晋升']",上市公司 开发大牛
linux驱动工程师,65947,同为数码,500-2000人,信息安全,3-5年,深圳,18k-36k,本科,全职,"['节日礼物', '带薪年假', '绩效奖金', '岗位晋升']","上市公司,晋升空间大,节假日福利"
linux应用开发工程师,129945,有为信息,500-2000人,"移动互联网,硬件",1年以下,武汉,8k-15k,本科,全职,"['年底双薪', '带薪年假', '午餐补助', '节日礼物']","六险一金,年度体检,年度旅游,年终双薪"
linux运维工程师（12小时值班）,17785,联龙博通,2000人以上,"移动互联网,电商",1-3年,北京,8k-11k,大专,全职,"['节日礼物', '技能培训', '带薪年假', '绩效奖金']",五险一金 周末双休 餐补 年终奖
Linux内核工程师（北京）,24988,EasyStack,150-500人,数据服务,3-5年,北京,20k-30k,本科,全职,"['股票期权', '五险一金', '弹性工作', '节日礼物']","大牛多,提升空间大,扁平化管理,弹性工作制"
Linux操作系统研发工程师（南京）,24988,EasyStack,150-500人,数据服务,3-5年,南京,15k-30k,本科,全职,"['股票期权', '五险一金', '弹性工作', '节日礼物']",发展前景好、弹性工作、员工体检、周末双休
资深linux系统开发工程师,35630,青藤云安全,150-500人,数据服务,5-10年,武汉,20k-40k,本科,全职,"['五险一金', '年底双薪', '带薪年假', '扁平管理']",五险一金 下午茶 期权激励
国产数据库研发【Linux/C++】,105495,易鲸捷,50-150人,企业服务,3-5年,上海,20k-40k,本科,全职,"['节日礼物', '年底双薪', '带薪年假', '绩效奖金']",平台稳定 领导nice 弹性工作时间 期权股权
linux C++高级开发工程师,6774,酷我音乐,500-2000人,"移动互联网,文娱丨内容",3-5年,北京,15k-30k,本科,全职,"['绩效奖金', '五险一金', '带薪年假', '午餐补助']",十四薪，弹性工作，饭补，补充医疗
运维开发工程师/Linux系统运维工程师 (MJ000063),120972,钱大妈,2000人以上,消费生活,3-5年,广州,10k-20k,本科,全职,"['绩效奖金', '弹性工作', '公司提供午餐', '股票期权']",技术大牛 扁平管理 公司规模 发展空间
资深linux系统开发工程师,35630,青藤云安全,150-500人,数据服务,5-10年,武汉,20k-40k,本科,全职,"['五险一金', '年底双薪', '带薪年假', '扁平管理']",极客氛围、期权、项目奖金、年终奖、带薪年假
Linux开发工程师,115584,成都佳发,500-2000人,教育,1-3年,成都,6k-12k,本科,全职,"['股票期权', '年终分红', '绩效奖金', '带薪年假']","周末双休,带薪年假,六险一金,节日福利"
linux运维工程师,121835208,维堰服务,150-500人,"通讯电子,软件开发",3-5年,成都,8k-15k,本科,全职,[],福利待遇优
基础技术部-Linux内核技术支持工程师／专家,50702,美团,2000人以上,消费生活,不限,北京,25k-50k,不限,全职,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",平台大 大牛多
Linux C++研发工程师,302480,中铁信安,150-500人,"移动互联网,信息安全",1-3年,成都,8k-14k,本科,全职,[],信息安全背景
高级Linux Kernel开发工程师,6927,OPPO,2000人以上,硬件,5-10年,上海,20k-40k,本科,全职,"['丰厚年终', '扁平管理', '追求极致', '本分']","各种团建,工作氛围好,发展空间大"
高级linux驱动工程师,6927,OPPO,2000人以上,硬件,5-10年,上海,20k-40k,本科,全职,"['丰厚年终', '扁平管理', '追求极致', '本分']","各种团建,工作氛围好,发展空间大"
linux c/c++开发工程师,173129,禧涤智能,50-150人,"人工智能,硬件",3-5年,深圳,18k-35k,本科,全职,"['交通补助', '午餐补助', '扁平管理', '领导好']",技术大牛 团队氛围好 发展空间大
云计算后端研发工程师（精通Linux者入）,159465,ZStack,150-500人,"数据服务,信息安全",3-5年,上海,15k-30k,本科,全职,"['弹性工作', '领导好', '扁平管理', '技能培训']","阿里云投资,产品牛,大牛云集,好福利"
Linux运维工程师,159465,ZStack,150-500人,"数据服务,信息安全",1-3年,上海,10k-15k,本科,全职,"['弹性工作', '领导好', '扁平管理', '技能培训']","阿里专有云,大牛云集,团队氛围好"
嵌入式软件开发（Linux）,17617,Makeblock童心制物,500-2000人,教育,3-5年,深圳,12k-20k,本科,全职,"['创客氛围', '扁平管理', '领导好', '六险一金']","教育, 机器人, 全球化, 自主性强"
【校招】Linux C/C++ 开发工程师,25592,新浪网,2000人以上,文娱丨内容,在校/应届,北京,10k-15k,本科,全职,"['免费班车', '岗位晋升', '五险一金', '定期体检']",免费停车场、早餐、健身房
linux开发工程师,148909,奇安信集团,2000人以上,信息安全,3-5年,北京,15k-25k,大专,全职,"['年底双薪', '带薪年假', '午餐补助', '定期体检']",六险一金、大牛团队、福利待遇优厚
嵌入式Linux软件工程师,172786,魅视电子,150-500人,硬件,在校/应届,广州,12k-20k,硕士,全职,"['高速发展', '奖励丰厚', '五险一金', '周末双休']",重点项目 前沿技术 高速发展 购车奖励
linux驱动开发工程师,408053,Syrius Robotics,50-150人,硬件,5-10年,深圳,20k-40k,本科,全职,"['专项奖金', '绩效奖金', '带薪年假', '定期体检']",弹性上班，全额社保公积金，发展空间大
Linux C开发工程师（云安全/网络/防火墙）,63041,天融信,2000人以上,信息安全,3-5年,北京,15k-25k,本科,全职,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']",餐补 交补 七险一金 年终奖 试用期全额
linux运维工程师,57348,笨鸟软件,15-50人,"数据服务,其他",1-3年,深圳,7k-12k,本科,全职,"['年底双薪', '带薪年假', '岗位晋升', '年度旅游']",周末双休、弹性工作、五险一金、年终旅游
嵌入式linux软件开发工程师,731055,融安网络,500-2000人,其他,3-5年,深圳,15k-30k,本科,全职,[],年终奖、股票期权、五险一金、带薪年假，双休
Linux C++ 研发工程师 PINPOINT,93087,NAVER China,2000人以上,"移动互联网,社交",3-5年,成都,13k-20k,本科,全职,"['节日礼物', '带薪年假', '绩效奖金', '年度旅游']",不提倡加班，弹性工作制，高比例社保公积金
Linux C++ 商业云平台,93087,NAVER China,2000人以上,"移动互联网,社交",5-10年,成都,13k-23k,本科,全职,"['节日礼物', '带薪年假', '绩效奖金', '年度旅游']","上市公司,外企文化,研发中心，技术氛围浓"
linux开发工程师,731283,智意科技,500-2000人,人工智能,1-3年,深圳,12k-22k,本科,全职,[],年终奖、带薪年假、旅游或户外拓展培训
linux嵌入式软件工程师,151386,物灵,150-500人,"硬件,移动互联网",3-5年,北京,15k-25k,本科,全职,"['带薪年假', '餐补', '福利待遇好', '技术大牛']",嵌入式
Linux c++,6014,鼎普,150-500人,"移动互联网,信息安全",不限,北京,15k-30k,本科,全职,"['五险一金', '通讯津贴', '带薪年假', '交通补助']",七险一金、餐补交通补贴、周末双休等
网络开发Linux/Java,105495,易鲸捷,50-150人,企业服务,3-5年,上海,15k-30k,本科,全职,"['节日礼物', '年底双薪', '带薪年假', '绩效奖金']",平台稳定、领导nice、团队和谐、小零食、不打卡
高级Linux C/C++开发工程师,50784,蓝盾信息安全技术股份有限公司,500-2000人,信息安全,3-5年,广州,10k-20k,本科,全职,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']",五险一金 补充医疗保险 公司体检 旅游
Linux c++流媒体开发工程师,571094,良守客户,50-150人,"信息安全,其他",3-5年,北京,25k-45k,本科,全职,[],五险一金，不加班，氛围好，优秀素质高
嵌入式软件工程师（linux）,120478692,锦沃科技,15-50人,物联网,3-5年,深圳,15k-25k,本科,全职,[],行业资源丰富，整合发力快速发展时期
linux开发工程师,69848,微云,50-150人,其他,1-3年,东莞,8k-15k,本科,全职,"['节日礼物', '股票期权', '带薪年假', '绩效奖金']",大牛带队，未来可期
linux驱动开发工程师,220184,HTEK,50-150人,移动互联网,1-3年,南京,12k-20k,本科,全职,[],氛围好 提升快
Linux系统工程师,121880671,途勒夫管理咨询,15-50人,企业服务,5-10年,武汉,20k-30k,本科,全职,[],拟上市公司，操作系统高新企业
linux c/c++开发工程师,157430,上海广升,150-500人,移动互联网,3-5年,上海,10k-20k,本科,全职,"['带薪年假', '专项奖金', '年底双薪', '年终分红']",福利假期 弹性时间 免费体检 一年多薪
Linux C开发工程师,505699,成都数维,50-150人,"信息安全,数据服务",1-3年,成都,10k-20k,本科,全职,[],餐补、交通补贴、团建旅游、周末双休、年终奖
linux内核研发工程师,514268,成都市尹虹信息技术有限公司,15-50人,"移动互联网,电商",5-10年,上海,28k-55k,本科,全职,[],福利好，薪酬高
Linux C/C++开发工程师（校招）(J11801),63041,天融信,2000人以上,信息安全,在校/应届,北京,8k-12k,本科,全职,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']",七险一金
Linux运维工程师,26597,上海明运,50-150人,金融,不限,上海,8k-16k,本科,全职,"['绩效奖金', '年底双薪', '五险一金', '通讯津贴']","五险一金,晋升空间大,福利待遇全"
linux c/c++开发工程师,23711,阳光凯讯,50-150人,移动互联网,不限,北京,15k-30k,本科,全职,"['年终分红', '绩效奖金', '专项奖金', '年底双薪']",工作地点在北京或南京都可以
linux c/c++开发工程师,23711,阳光凯讯,50-150人,移动互联网,在校/应届,北京,10k-15k,本科,全职,"['年终分红', '绩效奖金', '专项奖金', '年底双薪']",接受应届生
(急聘)数据库运维管理岗-熟悉Linux深圳,16779,中信网科,500-2000人,金融,3-5年,深圳,10k-16k,本科,全职,"['技能培训', '带薪年假', '扁平管理', '领导好']",五险一金、补充商业保险、团建、节日福利、体检
linux开发工程师,153238,眼神科技,150-500人,"数据服务,信息安全",3-5年,北京,14k-20k,本科,全职,[],从事AI前沿相关开发，行业在高速发展阶段
高级Linux嵌入式系统C/C++开发,7125,贝锐科技,150-500人,"移动互联网,数据服务",5-10年,上海,25k-35k,本科,全职,"['年底双薪', '带薪年假', '出国游', '岗位晋升']","平台好,福利多,该有的都有"
嵌入式Linux软件工程师,136594,青莲云,15-50人,"企业服务,硬件",1-3年,北京,15k-20k,本科,全职,"['股票期权', '扁平管理', '极客氛围', '技能培训']",五险一金，补充医疗，带薪年假，优秀团队
高级Linux C开发工程师,136594,青莲云,15-50人,"企业服务,硬件",不限,北京,20k-40k,本科,全职,"['股票期权', '扁平管理', '极客氛围', '技能培训']",五险一金，补充医疗，带薪年假，优秀团队
嵌入式Linux开发工程师,351284,哈工大机器人,150-500人,其他,3-5年,合肥,8k-15k,本科,全职,"['年底双薪', '带薪年假', '交通补助', '午餐补助']",五险一金、年底双薪、员工旅游、餐补
linux运维工程师,150192,初灵信息,500-2000人,"移动互联网,数据服务",1-3年,太原,5k-8k,大专,全职,"['午餐补助', '年度旅游', '带薪年假', '年底双薪']",弹性工作；六险一金；租房补助；午餐补贴
Linux系统开发工程师,69007,恒天软件,2000人以上,软件开发,3-5年,杭州,12k-15k,本科,全职,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']",六险一金，双休，弹性工作时间
Linux C/C++ 开发工程师,132154,中富金石,150-500人,金融,3-5年,成都,10k-15k,本科,全职,"['带薪年假', '定期体检', '周末双休', '绩效奖金']",绩效奖金，半年调薪
linux运维工程师,132154,中富金石,150-500人,金融,3-5年,成都,10k-15k,本科,全职,"['带薪年假', '定期体检', '周末双休', '绩效奖金']",绩效奖金，互联网金融，新兴项目
Linux后台开发工程师,60841,羚羊视频云,150-500人,移动互联网,1-3年,深圳,10k-20k,本科,全职,"['节日礼物', '绩效奖金', '岗位晋升', '定期体检']",五险一金 空间大 平台好 福利多 大牛多 双休
Linux C/C++研发工程师,6462,安恒信息,500-2000人,"信息安全,数据服务",3-5年,杭州,15k-25k,本科,全职,"['年终分红', '股票期权', '绩效奖金', '五险一金']",五险一金 周末双休 节日福利
Linux C/C++开发工程师(研究院),6462,安恒信息,500-2000人,"信息安全,数据服务",3-5年,杭州,13k-25k,本科,全职,"['年终分红', '股票期权', '绩效奖金', '五险一金']",五险一金 带薪年假 国内外旅游
高级linux终端安全研发工程师,58140,北京天空卫士网络安全,150-500人,"信息安全,移动互联网",3-5年,北京,22k-30k,本科,全职,"['入职分股票', '住房通迅补贴', '年内启动B轮', '薪水高']",五险一金，股票股权，补充医疗，定期体检
嵌入式linux开发工程师,324800,广州腾驹科技有限公司,15-50人,"移动互联网,硬件",不限,广州,4k-8k,大专,全职,[],"linux,嵌入式,arm,uboot"
嵌入式Linux 系统工程师,157269,映云科技,50-150人,"企业服务,物联网",5-10年,深圳,25k-30k,本科,全职,"['开源软件', '全球运营', '股票期权', '带薪年假']","期权,奖金,节日福利,各类补贴"
C++(linux下服务端),462137,清交科技,50-150人,数据服务,5-10年,北京,25k-50k,本科,全职,[],两餐水果，车费报销，弹性不打卡，扁平化
linux运维工程师,69562,海尔HotOEM,50-150人,"移动互联网,电商",1-3年,广州,9k-12k,大专,全职,"['技能培训', '带薪年假', '扁平管理', '年终分红']",双休，五险一金齐全，500强公司
linux 驱动工程师,122148982,诚之安实业,150-500人,"企业服务,软件开发",3-5年,上海,15k-25k,本科,全职,[],团队成熟
linux运维工程师,763721,华兴亚鼎,50-150人,软件开发,1-3年,苏州,8k-11k,大专,全职,[],五险一金、年终奖、
linux c/c++开发工程师,23863,天源迪科,2000人以上,"移动互联网,电商",5-10年,深圳,20k-35k,本科,全职,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",上市公司 环境优美 福利丰厚 团队优秀
linux运维工程师,16049,iSpeak,150-500人,"移动互联网,社交",3-5年,上海,12k-20k,本科,全职,"['节日礼物', '带薪年假', '岗位晋升', '扁平管理']",大规模服务器应用群，期待你来施展才华！
Linux C/C++ 初级开发工程师,58140,北京天空卫士网络安全,150-500人,"信息安全,移动互联网",在校/应届,北京,8k-12k,本科,全职,"['入职分股票', '住房通迅补贴', '年内启动B轮', '薪水高']",五险一金，股票期权，年终奖，提供早餐等
Linux内核工程师,368870,TCL,2000人以上,"移动互联网,其他",5-10年,深圳,25k-45k,本科,全职,"['年底双薪', '带薪年假', '定期体检', '绩效奖金']",带薪年假 弹性工作 五险一金 发展空间大
Linux C软件研发工程师（2021届校园招聘）,71154,casa systems,150-500人,"移动互联网,其他",在校/应届,广州,8k-16k,本科,全职,"['带薪年假', '绩效奖金', '年度旅游', '扁平管理']",纳斯达克上市 平等开放 技术氛围浓 5G
嵌入式linux系统开发工程师,27695,安徽海鸿计算机技术有限公司,50-150人,"移动互联网,消费生活",3-5年,合肥,12k-17k,本科,全职,"['节日礼物', '岗位晋升', '通讯津贴', '年底双薪']",五险一金、双休、大牛带队、福利丰厚健全
Linux研发（c/c++）工程师（实习）,120509539,共致开源,50-150人,软件开发,在校/应届,北京,6k-12k,本科,实习,[],周末双休，转正机会，交通补助
Linux系统开发工程师,121880671,途勒夫管理咨询,15-50人,企业服务,1-3年,武汉,25k-30k,本科,全职,[],国产操作系统，计划3年内上市
linux c开发工程师,505699,成都数维,50-150人,"信息安全,数据服务",1-3年,成都,10k-15k,大专,全职,[],加班补助 全勤奖 交通补助 餐补
linux开发工程师,44943,腾达,2000人以上,"移动互联网,消费生活",3-5年,成都,12k-20k,本科,全职,"['技能培训', '节日礼物', '免费班车', '岗位晋升']",扁平化，氛围好，品牌强
linux驱动开发工程师,44943,腾达,2000人以上,"移动互联网,消费生活",3-5年,成都,12k-20k,本科,全职,"['技能培训', '节日礼物', '免费班车', '岗位晋升']",扁平化、氛围好、品牌强
Linux邮件系统开发管理,360527,MDPI 曼迪匹艾,500-2000人,"企业服务,教育",1-3年,北京,10k-15k,本科,全职,"['绩效奖金', '弹性工作', '美女多', '节日礼物']",五险一金、交通补助、餐补、定期体检
linux运维工程师,156447,乐融软件,15-50人,其他,3-5年,深圳,13k-17k,大专,全职,[],五险一金 周末双休
Linux C/C++开发工程师,122299544,八斗金企业管理咨询,15-50人,企业服务,不限,长沙,6k-8k,本科,全职,[],公司背景雄厚，综合实力强
嵌入式Linux驱动工程师,64449,环宇智行,50-150人,"其他,软件开发",1-3年,武汉,9k-18k,本科,全职,"['技能培训', '专项奖金', '股票期权', '绩效奖金']",嵌入式Linux驱动工程师
linux运维工程师,117972290,中科软,2000人以上,"信息安全,软件开发",不限,北京,6k-12k,本科,全职,[],工作环境稳定
linux运维工程师,550211,索罗特,15-50人,"移动互联网,电商",不限,福州,10k-15k,本科,全职,[],绩效奖金；年底双薪；
Linux驱动工程师,120649923,达摩盘数据科技,15-50人,"信息安全,软件开发",不限,武汉,15k-25k,本科,全职,[],五险一金零食饮料团建旅游
Linux/Android 驱动开发工程师,500145,北京阅视智能,50-150人,"移动互联网,人工智能",1-3年,北京,10k-20k,本科,全职,"['带薪年假', '五险一金', '岗位晋升', '年终奖金']",领导nice，技术大牛，上升空间大
linux驱动开发工程师,118479950,亿友智能,15-50人,人工智能、物联网,1-3年,杭州,8k-16k,本科,全职,[],创业骨干 股票 入职社保 人际简单和谐
Linux C/C++信号处理工程师,117542762,电信五所有限公司,150-500人,信息安全、数据服务,1-3年,成都,10k-15k,不限,全职,"['年底双薪', '绩效奖金', '定期体检', '节日礼物']",工作稳定，待遇较优，各项福利保险完善。
Linux C/C++信号处理工程师,117542762,电信五所有限公司,150-500人,信息安全、数据服务,3-5年,成都,10k-12k,本科,全职,"['年底双薪', '绩效奖金', '定期体检', '节日礼物']",工作稳定，待遇较优，各项福利保险完善。
Linux系统运维工程师,119601,九州证券,500-2000人,金融,5-10年,北京,10k-20k,本科,全职,"['交通补助', '通讯津贴', '定期体检', '带薪年假']","定期体检,扁平管理,不加班"
Linux系统工程师,33637,信大捷安,500-2000人,"移动互联网,信息安全",3-5年,西安,12k-18k,本科,全职,"['节日礼物', '高薪', '靠谱', '有前途']","薪酬福利好,带薪年假,六险一金"
linux运维,356014,易宝软件科技（南京）有限公司,150-500人,移动互联网,1-3年,西安,6k-12k,本科,全职,[],"朝九晚六,双休,五险一金,上市企业"
linux后台（高级）开发工程师,451,腾讯,2000人以上,社交,3-5年,深圳,20k-40k,本科,全职,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",福利好 职业发展空间大
21届Linux开发工程师（2名）,142626,CLPS,500-2000人,"数据服务,金融",在校/应届,上海,3k-5k,本科,全职,"['专项奖金', '带薪年假', '定期体检', '交通补助']",发展前景、团队发展等
linux运维工程师,25494,武汉光谷信息,500-2000人,企业服务,1-3年,深圳,8k-10k,大专,全职,"['年终分红', '股票期权', '绩效奖金', '五险一金']",技术发展
Linux高级讲师/devops讲师,116671544,学神科技,50-150人,教育,3-5年,北京,25k-40k,大专,全职,"['绩效奖金', '团队氛围好', '节日福利', '带薪年假']",五险一金 发展可观 团队氛围好
云平台/Linux/windows 运维工程师,278873,勤实信息,15-50人,"企业服务,数据服务",不限,乌鲁木齐,6k-8k,大专,全职,[],长期稳定
Linux运维实习生,129448,新流万联NGAA,50-150人,移动互联网,在校/应届,北京,5k-7k,本科,全职,[],双休、五险一金、研发团队
Linux图形开发工程师,120649923,达摩盘数据科技,15-50人,"信息安全,软件开发",5-10年,武汉,10k-20k,本科,全职,[],五险一金零食饮料团建旅游
Linux-C研发工程师,112262,简网科技,15-50人,信息安全,5-10年,北京,20k-30k,本科,全职,[],五险一金，股票期权，五天工作制
linux C语言工程师,112262,简网科技,15-50人,信息安全,5-10年,北京,20k-30k,本科,全职,[],五险一金，股票期权，五天工作制
Linux开发工程师-2020YF26,33637,信大捷安,500-2000人,"移动互联网,信息安全",3-5年,郑州,10k-15k,本科,全职,"['节日礼物', '高薪', '靠谱', '有前途']",公司平台好 发展空间大
Linux驱动工程师,645746,显鸿科技,500-2000人,硬件,3-5年,深圳,20k-30k,本科,全职,[],5天8小时，五险一金、年底双薪、节日福利
linux运维工程师,84496553,正微至达,15-50人,软件开发,3-5年,苏州,8k-12k,大专,全职,[],云平台
嵌入式开发（Linux应用）工程师,402453,美的置业,2000人以上,房产家居,3-5年,佛山,14k-28k,本科,全职,"['年底双薪', '带薪年假', '美女多', '扁平管理']",大牛团队 下午茶 弹性考勤
嵌入式LINUX C程序员,239393,合肥优视科技,50-150人,"硬件,信息安全",在校/应届,合肥,6k-11k,不限,全职,"['年底双薪', '专项奖金', '绩效奖金', '带薪年假']",双休 年终奖 提供晚餐
linux C 高级开发,90145,中睿天下,150-500人,"信息安全,其他",3-5年,北京,20k-30k,本科,全职,"['股票期权', '带薪年假', '年度旅游', '扁平管理']",技术氛围浓厚，薪资与能力挂钩
Linux系统运维,333792,泓枫,50-150人,"移动互联网,企业服务",1-3年,上海,7k-13k,不限,全职,[],中国电信项目，五险一金，年奖年假等
高级Linux开发工程师,667788,缔盟云,50-150人,企业服务,不限,杭州,18k-35k,本科,全职,[],带薪年假 弹性工作 扁平管理 行业发展空间大
嵌入式linux软件工程师,159101,海柔创新,150-500人,硬件,3-5年,深圳,15k-30k,本科,全职,"['产品导向', '产品型团队', '客户导向', '工程师文化']","产品好,团队好,学习型,期权多"
