职位名称,公司ID,公司名称,公司规模,职位领域,工作经验,工作地点,工资水平,学历,工作性质,公司标签,职位优势
Java高级开发工程师,127922,瑞云网络,50-150人,"移动互联网,电商",5-10年,广州,16k-28k,本科,全职,"['年终分红', '绩效奖金', '带薪年假', '年度旅游']",五险一金，带薪年假，高新企业，年终奖金
Java,122242026,泰锟医药,50-150人,医疗丨健康,3-5年,上海,10k-15k,大专,全职,[],五险一金、带薪年假、通讯补助、定期体检
java开发工程师,35097,乐播科技,150-500人,移动互联网,3-5年,深圳,20k-35k,本科,全职,"['年底双薪', '绩效奖金', '岗位晋升', '年度旅游']",互联网 环境优 福利好
java开发工程师,118599725,融智天软件,50-150人,软件开发,3-5年,北京,15k-22k,本科,全职,"['年底双薪', '绩效奖金', '午餐补助']",绩效考核奖金、开发奖金，餐补，五险一金，双休
java开发工程师,298931,朗蕴科技,50-150人,移动互联网,1-3年,武汉,6k-10k,不限,全职,"['带薪年假', '定期体检', '周末双休', '五险一金']",周末双休 五险一金 定期团建 定期体检
高级java开发工程师,386940,快盈科技,50-150人,"移动互联网,旅游",5-10年,杭州,18k-30k,本科,全职,[],五险一金、发展空间大，团建、加班补贴
java开发工程师,175284,阿卡索外教网,2000人以上,"教育,移动互联网",1-3年,深圳,11k-15k,大专,全职,"['带薪年假', '弹性工作', '美女多', '领导好']",五险一金，美女如云
java开发工程师,84502297,法本信息,2000人以上,"企业服务,软件开发",1-3年,广州,8k-12k,大专,全职,[],国企，朝九晚六，周末双休，福利待遇好。
Java开发工程师,426372,中通服,50-150人,移动互联网,5-10年,北京,10k-20k,本科,全职,[],"七险一金,带薪休假"
Java开发工程师,62,字节跳动,2000人以上,文娱丨内容,不限,深圳,20k-40k,本科,全职,"['扁平管理', '弹性工作', '就近租房补贴', '六险一金']","下午茶,健身瑜伽,六险一金,五险一金"
java开发工程师,84502297,法本信息,2000人以上,"企业服务,软件开发",3-5年,深圳,10k-20k,大专,全职,[],团队氛围好
Java,122242026,泰锟医药,50-150人,医疗丨健康,3-5年,上海,10k-15k,大专,全职,[],五险一金、带薪年假、通讯补助、定期体检
java开发工程师,35097,乐播科技,150-500人,移动互联网,3-5年,深圳,20k-35k,本科,全职,"['年底双薪', '绩效奖金', '岗位晋升', '年度旅游']",互联网 环境优 福利好
java开发工程师,53308,妙健康,150-500人,移动互联网,3-5年,北京,15k-20k,本科,全职,"['年度旅游', '管理规范', '六险一金', '弹性工作']",六险一金 福利健全 弹性工作时间 领导nice
java开发工程师,84502297,法本信息,2000人以上,"企业服务,软件开发",1-3年,广州,8k-12k,大专,全职,[],国企，朝九晚六，周末双休，福利待遇好。
java工程师,201625,深圳知云网络科技有限公司,2000人以上,企业服务,3-5年,深圳,20k-30k,本科,全职,"['专项奖金', '带薪年假', '弹性工作', '扁平管理']","集团背景,晋升空间大,15薪,集团股权"
java高级开发工程师,457880,阿尔法智汇,15-50人,"人工智能,信息安全",5-10年,深圳,18k-30k,本科,全职,[],五险一金、年底分红、合伙人、股票期权
java工程师,115818,无限向量（北京）科技有限公司,50-150人,移动互联网,不限,北京,20k-30k,本科,全职,[],待遇好 氛围好
Java开发工程师,171273,兴业数金,500-2000人,"金融,移动互联网",3-5年,成都,15k-30k,本科,全职,[],快来吧
Java开发工程师,426372,中通服,50-150人,移动互联网,5-10年,北京,10k-20k,本科,全职,[],"七险一金,带薪休假"
Java高级开发工程师,127922,瑞云网络,50-150人,"移动互联网,电商",5-10年,广州,16k-28k,本科,全职,"['年终分红', '绩效奖金', '带薪年假', '年度旅游']",五险一金，带薪年假，高新企业，年终奖金
java开发工程师,86102449,德科信息,2000人以上,"软件开发,物联网",3-5年,深圳,13k-26k,大专,全职,"['股票期权', '帅哥多', '领导好', '技能培训']",年终奖
Java开发工程师,752543,北京亚格斯科技发展有限公司,50-150人,软件开发,3-5年,北京,15k-16k,本科,全职,[],更大的平台，更大的发展空间
高级java开发工程师,264789,潭州教育,2000人以上,移动互联网,5-10年,长沙,12k-20k,本科,全职,[],多样化的员工福利、扁平化的管理
java开发工程师,752543,北京亚格斯科技发展有限公司,50-150人,软件开发,3-5年,北京,13k-16k,本科,全职,[],技术开发工程师
高级java开发工程师,264789,潭州教育,2000人以上,移动互联网,5-10年,长沙,12k-20k,本科,全职,[],多样化的员工福利、扁平化的管理
java,2474,滴滴,2000人以上,汽车丨出行,不限,北京,18k-36k,本科,全职,"['弹性工作', '节日礼物', '岗位晋升', '技能培训']",平台大，业务前景好
java高级开发工程师,2474,滴滴,2000人以上,汽车丨出行,3-5年,杭州,20k-40k,本科,全职,"['弹性工作', '节日礼物', '岗位晋升', '技能培训']",平台大，业务前景好
java开发工程师,240878,小打卡,50-150人,"移动互联网,数据服务",1-3年,北京,12k-24k,本科,全职,"['股票期权', '年底双薪', '弹性工作', '领导好']",五险一金+租房补贴+团建+节假日福利
java开发工程师,84502666,生生众包,15-50人,电商 金融,1-3年,北京,13k-17k,本科,全职,[],团队好 弹性工作制度 平台棒 技术牛
高级java开发工程师,122192995,爱分类 爱回收,150-500人,"消费生活,物联网",5-10年,上海,25k-35k,本科,全职,"['带薪年假', '股票期权', '绩效奖金', '管理规范']",业务发展快 团队氛围好 领导nice
Java工程师,194937,深演智能,150-500人,"移动互联网,广告营销",3-5年,北京,13k-26k,本科,全职,"['股票期权', '年度旅游', '美女多', '弹性工作']",六险一金 年度旅游 氛围开放
高级java开发工程师,240878,小打卡,50-150人,"移动互联网,数据服务",3-5年,北京,22k-40k,本科,全职,"['股票期权', '年底双薪', '弹性工作', '领导好']",六险一金+租房补贴+健身补贴+团建
Java开发工程师,299761,杭州布谷科技有限责任公司,15-50人,"移动互联网,数据服务",3-5年,杭州,10k-13k,本科,全职,[],发展前景、福利待遇、弹性时间
java开发工程师,124574,声智科技,150-500人,人工智能,3-5年,合肥,10k-15k,本科,全职,"['股票期权', '五险一金', '技能培训', '岗位晋升']",平台增速快 福利多 人工智能平台前景大
java开发工程师,122192995,爱分类 爱回收,150-500人,"消费生活,物联网",3-5年,上海,20k-30k,本科,全职,"['带薪年假', '股票期权', '绩效奖金', '管理规范']",业务发展快 团队氛围好 领导nice
java开发工程师,471310,金龄科技,50-150人,"移动互联网,医疗丨健康",3-5年,深圳,15k-30k,本科,全职,"['股票期权', '年终分红', '带薪年假', '五险一金']",五险一金 年终奖 晋升空间 带薪年假
java高级开发工程师,50223,唯修汇,50-150人,消费生活,3-5年,深圳,20k-30k,本科,全职,"['微笑多', '绩效奖金', '美女多', '五险一金']",扁平化管理
java开发工程师,494648,文思海辉·金融,2000人以上,"移动互联网,金融",3-5年,深圳,14k-20k,本科,全职,"['带薪年假', '定期体检', '节日礼物', '五险一金']",六险一金、技术培优、前后端分离
java开发工程师,120557625,环驿信息,50-150人,"电商,游戏",1-3年,深圳,13k-25k,本科,全职,[],新项目、新团队、前景无限大
java开发工程师,122192995,爱分类 爱回收,150-500人,"消费生活,物联网",3-5年,上海,20k-30k,本科,全职,"['带薪年假', '股票期权', '绩效奖金', '管理规范']",业务发展快 团队氛围好 领导nice
高级java开发工程师,122192995,爱分类 爱回收,150-500人,"消费生活,物联网",5-10年,上海,25k-35k,本科,全职,"['带薪年假', '股票期权', '绩效奖金', '管理规范']",业务发展快 团队氛围好 领导nice
Java开发工程师,752543,北京亚格斯科技发展有限公司,50-150人,软件开发,3-5年,北京,14k-17k,本科,全职,[],金融互联网
Java开发工程师,299761,杭州布谷科技有限责任公司,15-50人,"移动互联网,数据服务",3-5年,杭州,10k-13k,本科,全职,[],发展前景、福利待遇、弹性时间
java开发工程师,494648,文思海辉·金融,2000人以上,"移动互联网,金融",3-5年,深圳,14k-20k,本科,全职,"['带薪年假', '定期体检', '节日礼物', '五险一金']",六险一金、技术培优、前后端分离
java开发工程师,84502666,生生众包,15-50人,电商 金融,1-3年,北京,13k-17k,本科,全职,[],团队好 弹性工作制度 平台棒 技术牛
java开发工程师,120557625,环驿信息,50-150人,"电商,游戏",1-3年,深圳,13k-25k,本科,全职,[],新项目、新团队、前景无限大
java,394438,深圳市泛融云计算研究院,50-150人,"企业服务,数据服务",5-10年,深圳,15k-30k,不限,全职,"['边缘计算', '云计算', '人工智能', '5G']",福利好 待遇优 前景好 空间大
java开发工程师,471310,金龄科技,50-150人,"移动互联网,医疗丨健康",3-5年,深圳,15k-30k,本科,全职,"['股票期权', '年终分红', '带薪年假', '五险一金']",五险一金 年终奖 晋升空间 带薪年假
JAVA开发工程师,132511,今天国际,500-2000人,"硬件,其他",3-5年,深圳,15k-20k,本科,全职,"['年底双薪', '绩效奖金', '岗位晋升', '五险一金']",年度旅行，年度调薪
java开发工程师,147,拉勾网,500-2000人,企业服务,3-5年,北京,10k-15k,大专,全职,"['五险一金', '弹性工作', '带薪年假', '免费两餐']",十三薪，入职通过率高，
Java开发工程师,120718231,中建八局三公司,2000人以上,"企业服务,软件开发",1-3年,南京,10k-18k,本科,全职,[],java
java开发工程师,120379535,贝索斯,15-50人,"金融,企业服务",1-3年,珠海,8k-12k,本科,全职,[],"福利高,大小周,晋升空间大"
高级Java开发工程师,148473,天星科技,150-500人,"移动互联网,电商",5-10年,成都,16k-22k,本科,全职,"['节日礼物', '扁平管理', '领导好', '免费零食']",Multiple Cultures
